,Cls,Nearest City
43118,Aw,maisuru
43119,Aw,kollegal
43120,Aw,pennagaram
43121,Aw,dharmapuri
43122,Aw,chengam
43123,Aw,pennathur
43124,Aw,tindivanam
43125,Aw,cheyur
43129,Am,sam roi yot
43131,Am,khlung
43138,Am,phumi samraong
43139,Aw,kracheh
43140,Aw,senmonorom
43142,Aw,buon me thuot
43144,Aw,nha trang
43146,Am,buluang
43147,Am,coron
43148,Am,alibog
43149,Am,tugdan
43150,Af,sugod
43151,Af,tumalaytay
43152,Af,armenia
43153,Af,palanit
43154,Af,silvino lobos
43155,Af,jipapad
43156,Aw,cedeno
43157,Aw,el viejo
43158,Aw,larreynaga
43159,Aw,ciudad dario
43160,Aw,matagalpa
43161,Am,bocana de paiwas
43165,Am,san andres
43167,Aw,bignona
43168,Aw,sedhiou
43169,Aw,farim
43170,Aw,kolda
43171,Aw,velingara
43182,Aw,kati
43187,BSh,segou
43189,Aw,kimparana
43191,BSh,toma
43192,BSh,nouna
43194,BSh,tougan
43195,BSh,yako
43196,BSh,ouagadougou
43197,BSh,ziniare
43198,BSh,boulsa
43199,BSh,bogande
43204,BSh,say
43206,BSh,dosso
43207,BSh,birnin kebbi
43214,BSh,katsina
43217,BSh,magaria
43220,BSh,nguru
43221,BSh,gashua
43223,BSh,maine-soroa
43225,BWh,diffa
43231,BWh,massakory
43235,BSh,ati
43241,BSh,abeche
43260,BSh,bara
43263,BSh,tandalti
43265,BWh,rabak
43267,BSh,sinjah
43275,Cwb,dabat
43283,BWh,edd
43287,BWh,lahij
43289,BWh,aden
43294,Aw,ullal
43295,Aw,puttur
43296,Aw,kodlipet
43297,Aw,hole narsipur
43298,Aw,nagamangala
43299,Aw,ramanagaram
43300,Aw,anekal
43301,Aw,kuppam
43302,Aw,ambur
43304,Aw,walajabad
43305,Aw,mamallapuram
43308,Am,hua hin
43310,Aw,sattahip
43311,Aw,rayong
43312,Aw,klaeng
43313,Am,chanthaburi
43314,Am,bo rai
43318,Am,kampong thum
43326,Aw,tuy hoa
43328,Am,batasan
43329,Am,masaguisi
43330,Af,alad
43331,Af,aguada
43332,Af,bulusan
43333,Aw,la libertad
43334,Aw,jiquilisco
43335,Aw,jucuaran
43336,Aw,amapala
43337,Aw,marcovia
43338,Aw,san marcos de colon
43339,Aw,condega
43340,Aw,jinotega
43341,Am,waslala
43342,Am,siuna
43343,Am,rosita
43344,Am,puerto cabezas
43346,Af,barroualie
43347,Am,speightstown
43348,Am,bathsheba
43349,Aw,gunjur
43350,Aw,lamin
43351,Aw,farafenni
43353,Aw,bansang
43354,Aw,sabi
43356,Aw,tambacounda
43360,Aw,bafoulabe
43366,Aw,kolokani
43367,BSh,banamba
43371,BSh,markala
43372,BSh,san
43375,BSh,bousse
43378,BSh,gourcy
43379,BSh,kongoussi
43380,BSh,kaya
43385,BSh,niamey
43387,BSh,kollo
43390,BSh,dogondoutchi
43396,BSh,madarounfa
43398,BSh,aguie
43399,BSh,matameye
43411,BWh,mao
43415,BWh,moussoro
43447,BWh,kusti
43449,BWh,sinnar
43460,Aw,abiy adi
43468,BWh,zabid
43470,BWh,jiblah
43477,Aw,udupi
43478,Aw,sringeri
43479,Aw,chikmagalur
43480,Aw,arsikere
43481,Aw,turuvekere
43482,Aw,tumkur
43483,Aw,devanhalli
43484,Aw,srinivaspur
43485,Aw,palmaner
43486,Aw,ramapuram
43487,Aw,tiruttani
43488,Aw,minjur
43490,Am,dawei
43492,Aw,chom bung
43493,Aw,khao yoi
43494,Aw,samut songkhram
43495,Aw,si racha
43496,Aw,phanat nikhom
43498,Aw,sa kaeo
43499,Aw,sisophon
43506,Aw,lumphat
43513,Am,paluan
43514,Am,cabacao
43515,Am,apitong
43516,Am,gasan
43517,Am,torrijos
43519,Af,macabugos
43520,Af,san roque
43522,Aw,la gomera
43523,Aw,iztapa
43524,Aw,pasaco
43525,Aw,nahuizalco
43526,Aw,mejicanos
43528,Aw,ciudad barrios
43529,Aw,aramecina
43530,Aw,sabanagrande
43531,Aw,oropoli
43532,Aw,jalapa
43533,Aw,wiwili
43539,BSh,bakau
43540,BSh,sokone
43541,BSh,nioro
43543,Aw,kuntaur
43544,Aw,basse
43548,BSh,kayes
43563,BSh,djenne
43565,BSh,bandiagara
43567,BSh,ouahigouya
43569,BSh,djibo
43572,BSh,dori
43574,BSh,tera
43575,BSh,tillabery
43579,BSh,filingue
43584,BSh,madaoua
43586,BSh,tibiri
43588,BSh,mayahi
43589,BSh,tessaoua
43590,BSh,zinder
43592,BWh,goure
43636,BWh,umm jarr
43639,BWh,kinanah
43646,BSh,himora
43649,BSh,aksum
43662,BWh,ibb
43669,Aw,baindur
43670,Aw,tirthahalli
43671,Aw,bhadravati
43672,Aw,hosdurga
43673,BSh,sira
43674,BSh,madhugiri
43675,Aw,bagepalli
43676,Aw,madanapalle
43677,Aw,rayachoti
43678,Aw,tirumala
43679,Aw,nayudupeta
43680,Aw,sulurpeta
43684,Aw,photharam
43685,Aw,sam phran
43686,Aw,bang sao thong
43687,Aw,bang khla
43688,Aw,kabin buri
43693,Aw,phrai bung
43696,Aw,champasak
43700,Aw,play cu
43702,Cwa,qui nhon
43704,Am,looc
43705,Am,hukay
43706,Am,dagatan
43709,Af,apad
43710,Af,manguiring
43711,Af,parubcan
43712,Af,viga
43714,Aw,ocos
43715,Aw,champerico
43716,Aw,nueva concepcion
43717,Aw,escuintla
43718,Aw,cuilapa
43719,Aw,yupiltepeque
43721,Aw,cololaca
43722,Aw,yamaranguila
43723,Aw,tepanguare
43724,Cwa,cofradia
43725,Aw,teupasenti
43726,Aw,el chichicaste
43727,Aw,trojes
43728,Am,bonanza
43733,Af,cap estate
43734,Af,le marin
43735,BSh,mbour
43736,BSh,diofior
43737,BSh,gandiaye
43738,BSh,guinguineo
43739,BSh,kaffrine
43740,BSh,koungheul
43744,BSh,bakel
43756,BSh,niono
43759,BSh,tenenkou
43761,BSh,mopti
43768,BSh,gorom-gorom
43774,BSh,ouallam
43779,BSh,illela
43782,BSh,bouza
43783,BSh,dakoro
43811,BWh,biltine
43837,BWh,wad madani
43845,BSh,barentu
43848,BSk,adwa
43857,BWk,yarim
43867,Aw,honavar
43868,Aw,siddapur
43869,Aw,shikarpur
43870,Aw,honnali
43871,BSh,chitradurga
43872,BSh,challakere
43873,BSh,hosakote
43874,BSh,dharmavaram
43875,BSh,kadiri
43877,Aw,rajampet
43878,Aw,vadlapudi
43879,Aw,kovur
43882,Aw,bo phloi
43883,Aw,phanom thuan
43884,Aw,song phi nong
43885,Aw,wang noi
43886,Aw,nakhon nayok
43888,Aw,soeng sang
43890,Aw,nang rong
43891,Aw,surin
43894,Aw,det udom
43898,Am,kon tum
43903,Am,mariveles
43904,Aw,maragondon
43905,Am,punta
43906,Af,cagsiay
43907,Af,basiad
43908,Af,batobalani
43909,Aw,mazatan
43910,Aw,veinte de noviembre
43911,Aw,colomba
43912,Cwb,santa lucia utatlan
43913,Cwb,san martin jilotepeque
43914,Aw,sanarate
43916,Aw,ostuman
43917,Aw,el derrumbo
43918,Aw,san francisco de ojuera
43919,Aw,las lajas
43920,Aw,san jose del potrero
43921,Cfa,guayape
43922,Aw,la concepcion
43923,Aw,catacamas
43924,Am,dulce nombre de culmi
43925,Am,wampusirpi
43926,Am,waspan
43927,Am,auka
43928,Am,iralaya
43929,Af,saint-pierre
43930,Af,le robert
43931,BWh,sao filipe
43933,BWh,praia
43935,BSh,pout
43936,BSh,khombole
43937,BSh,diourbel
43938,BSh,mbacke
43939,BSh,dahra
43940,BSh,linguere
43942,BSh,semme
43953,BSh,nara
43956,BSh,sokolo
43963,BSh,douentza
43971,BWh,ayorou
43979,BSh,tahoua
43981,BSh,keita
43986,BSh,tanout
44033,BWh,umm durman
44034,BWh,tabat
44037,BWh,tambul
44041,BWh,kassala
44042,BWh,teseney
44046,BSh,addi ugri
44050,BWh,ginda
44053,BWh,bajil
44056,BWk,sayyan
44069,Am,ankola
44070,Aw,sirsi
44071,Aw,hangal
44072,Aw,ranibennur
44073,BSh,kotturu
44074,BSh,rayadrug
44075,BSh,uravakonda
44076,BSh,anantapur
44077,BSh,jammalamadugu
44078,Aw,kamalapuram
44079,Aw,badvel
44080,Aw,kavali
44082,Am,ye
44086,Aw,sam chuk
44087,Aw,bang racham
44088,Aw,phra phutthabat
44089,Aw,pak chong
44090,Aw,sung noen
44091,Aw,chok chai
44104,Am,quang ngai
44106,Am,mabayo
44107,Am,hagonoy
44108,Af,montalban
44109,Af,binulasan
44110,Aw,mapastepec
44111,Aw,acapetahua
44112,Aw,motozintla
44113,Cwb,san miguel ixtahuacan
44114,Cwb,aguacatan
44115,Cwb,canilla
44116,Cwb,purulha
44117,Am,panzos
44118,Am,los amates
44119,Am,el ermitano
44120,Am,petoa
44121,Am,la guacamaya
44122,Am,punta ocote
44124,Am,tepusteca
44125,Am,san esteban
44128,Am,waksma
44129,Am,puerto lempira
44131,Af,berekua
44133,BWh,tarrafal
44134,BWh,vila do maio
44135,BSh,mekhe
44136,BSh,kebemer
44141,BWh,ourossogui
44142,BSh,kanel
44143,BSh,waounde
44181,BSh,abalak
44234,BWh,wad rawah
44246,BSh,asmara
44268,BWh,salalah
44270,Am,mormugao
44271,Am,sanguem
44272,Aw,haliyal
44273,Aw,kundgol
44274,BSh,mundargi
44275,BSh,munirabad
44276,BSh,kampli
44277,BSh,guntakal
44278,BSh,dhone
44279,BSh,banganapalle
44280,BSh,giddalur
44281,Aw,kanigiri
44283,Aw,singarayakonda
44287,Aw,thap than
44289,Aw,takhli
44290,Aw,chai badan
44292,Aw,dan khun thot
44293,Aw,non sung
44294,Aw,phimai
44295,Aw,satuk
44296,Aw,suwannaphum
44297,Aw,si sa ket
44298,Aw,ubon ratchathani
44299,Aw,phibun mangsahan
44300,Aw,pakxe
44302,Am,saravan
44304,Cwa,tam ky
44307,Am,liozon
44309,Am,santo nino
44310,Af,cabog
44312,Aw,jamiltepec
44314,Aw,pochutla
44315,Aw,huatulco
44316,Aw,xadani
44317,Aw,tres picos
44318,Aw,pijijiapan
44319,Aw,jaltenango
44320,Aw,chicomuselo
44321,Cwb,nenton
44322,Cwb,barillas
44323,Aw,chicaman
44324,Am,chisec
44325,Am,chahal
44326,Am,el estor
44327,Am,livingston
44328,Am,cuyamel
44329,Af,baracoa
44330,Af,esparta
44331,Af,la ceiba
44332,Am,rio esteban
44333,Am,bonito oriental
44334,Am,cusuna
44335,Am,brus laguna
44336,Am,barra patuca
44337,Af,grand-bourg
44338,BWh,sal rei
44339,BWh,saint-louis
44340,BWh,louga
44344,BWh,gollere
44345,BWh,thilogne
44346,BWh,matam
44347,BWh,maghama
44363,BWh,goundam
44370,BWh,gao
44388,BWh,agadez
44409,BWh,faya
44438,BWh,khartoum
44442,BWh,wagar
44454,BWh,jizan
44475,Aw,pernem
44476,Aw,valpoi
44477,Aw,bail hongal
44478,Aw,saundatti yellamma
44479,BSh,ron
44480,BSh,kushtagi
44481,BSh,sindhnur
44482,BSh,kosgi
44484,BSh,nandikotkur
44485,BSh,atmakur
44486,Aw,markapur
44487,Aw,addanki
44488,Aw,vetapalem
44489,Aw,repalle
44490,Aw,avanigadda
44491,Am,labutta
44493,Am,bogale
44494,Am,pyapon
44495,Am,kyaikkami
44497,Aw,mae sot
44498,Aw,lat yao
44500,Aw,nakhon sawan
44501,Aw,nong bua
44502,Aw,wichian buri
44503,Aw,bamnet narong
44504,Aw,chaiyaphum
44505,Aw,phon
44506,Aw,wapi pathum
44508,Aw,yasothon
44509,Aw,amnat charoen
44514,Cwa,hue
44515,Am,da nang
44516,Am,hoi an
44517,Am,bolitoc
44518,Am,tocok
44519,Am,baloy
44520,Af,pantabangan
44521,Af,suclayin
44522,Aw,tecoanapa
44523,Aw,pinotepa nacional
44525,Cwb,yaitepec
44526,Cwb,xitla
44527,Cwb,mixtepec
44528,Aw,mixtequilla
44529,Aw,tehuantepec
44530,Aw,san dionisio del mar
44531,Aw,chahuites
44532,Aw,arriaga
44533,Aw,villa corzo
44534,Aw,la concordia
44535,Aw,tzimol
44536,Cwb,las margaritas
44538,Aw,benemerito de las americas
44539,Am,sayaxche
44541,Am,poptun
44542,Af,punta gorda
44543,Af,puerto cortes
44544,Am,guanaja
44545,Af,pointe-noire
44546,Af,saint-francois
44550,BWh,richard toll
44551,BWh,dagana
44552,BWh,ndioum
44554,BWh,bababe
44576,BWh,tombouctou
44605,BWh,bilma
44682,Am,malwan
44683,Aw,kankavli
44684,Aw,ajra
44685,Aw,konnur
44686,Aw,mudhol
44687,BSh,bagalkot
44688,BSh,muddebihal
44689,BSh,lingsugur
44690,BSh,raichur
44691,BSh,gadwal
44692,BSh,wanparti
44693,BSh,srisailam
44694,BSh,macherla
44695,BSh,vinukonda
44696,Aw,phirangipuram
44697,Aw,bhattiprolu
44698,Aw,pedana
44699,Aw,narasapur
44700,Aw,amalapuram
44703,Am,moulmeingyun
44705,Am,kanbe
44706,Am,mudon
44709,Aw,kamphaeng phet
44710,Aw,khanu woralaksaburi
44711,Aw,taphan hin
44712,Aw,chon daen
44713,Aw,phetchabun
44714,Aw,kaset sombun
44715,Aw,kaeng khlo
44716,Aw,ban phai
44717,Aw,maha sarakham
44718,Aw,pho chai
44719,Aw,kuchinarai
44720,Aw,mukdahan
44721,Aw,savannakhet
44728,Am,macaboboni
44729,Am,namboongan
44730,Am,dalupirip
44731,Af,belance
44732,Af,dumabato
44733,Af,minuri
44734,Aw,coyuca
44735,Aw,acapulco
44736,Aw,san marcos
44737,Aw,azoyu
44738,Aw,xochistlahuaca
44739,Aw,zacatepec
44740,Cwb,ayoquezco
44741,Cwb,asuncion ocotlan
44742,BSh,guelavia
44743,Aw,quetzaltepec
44744,Aw,petapa
44745,Aw,niltepec
44746,Aw,zanatepec
44747,Aw,cintalapa
44748,Aw,berriozabal
44749,Cwb,zinacantan
44750,Cwb,oxchuc
44751,Aw,altamirano
44752,Aw,miguel hidalgo
44757,Am,belmopan
44758,Af,dangriga
44759,Am,old road
44760,BWh,mindelo
44762,BWh,ribeira brava
44766,BWh,podor
44800,BWh,kidal
44855,BWh,marawi
44864,BWh,barbar
44879,BWk,najran
44902,Am,ratnagiri
44903,Aw,lanja
44904,Aw,kolhapur
44905,Aw,kudchi
44906,Aw,athni
44907,BSh,bijapur
44908,BSh,sindgi
44909,BSh,shahpur
44910,BSh,yadgir
44911,Aw,gopalur
44912,Aw,mahbubnagar
44913,BSh,devarkonda
44914,BSh,nalgonda
44915,BSh,kodar
44916,Aw,nandigama
44917,Aw,nuzvid
44918,Aw,eluru
44919,Aw,tanuku
44920,Aw,yanam
44921,Am,pathein
44923,Am,wakema
44924,Am,maubin
44925,Am,syriam
44926,Am,thongwa
44927,Am,thaton
44928,Am,martaban
44931,Aw,tak
44932,Aw,khiri mat
44933,Aw,phitsanulok
44934,Aw,nakhon thai
44935,Aw,lom sak
44936,Aw,chum phae
44937,Aw,si bun ruang
44938,Aw,nam phong
44939,Aw,nong kung si
44940,Aw,khao wong
44942,Aw,that phanom
44945,Am,dong hoi
44949,Am,bacnotan
44950,Cwb,gambang
44951,Am,lamut
44952,Af,angadanan
44953,Af,dicamay
44954,As,petatlan
44955,Aw,tecpan
44956,Aw,zacualpan
44957,Aw,el ocotito
44958,Aw,quechultenango
44959,Aw,xalpatlahuac
44960,Cwb,juxtlahuaca
44961,Cwb,tlaxiaco
44962,Cwb,asuncion nochixtlan
44963,Cwb,nazareno etla
44964,Cwb,mitla
44966,Aw,palomares
44968,Aw,hidalgotitlan
44969,Am,tecpatan
44970,Am,ocotepec
44971,Am,amatan
44972,Am,yajalon
44980,Am,belize
44981,Aw,basseterre
44982,Af,carlisle
44983,BWh,ponta do sol
44984,BWh,pombas
44985,BWh,nouakchott
45092,BWh,tawkar
45096,BWh,sabya
45123,Am,guhagar
45124,Am,patan
45125,Aw,karad
45126,Aw,vite
45127,Aw,pandharpur
45128,BSh,indi
45129,BSh,afzalpur
45130,BSh,gulbarga
45131,Aw,sedam
45132,Aw,tandur
45133,Aw,farrukhnagar
45134,Aw,gudur
45136,Aw,suriapet
45137,Aw,khammam
45138,Aw,chatakonda
45139,Aw,tadepallegudem
45140,Aw,chodavaram
45141,Aw,pithapuram
45142,Aw,tuni
45144,Am,henzada
45145,Am,yandoon
45146,Am,bago
45147,Am,thanatpin
45148,Am,kyaikto
45150,Aw,mae ramat
45152,Aw,ban tak
45153,Aw,sawankhalok
45154,Aw,uttaradit
45157,Aw,wang saphung
45158,Aw,na klang
45159,Aw,udon thani
45160,Aw,nong han
45161,Aw,sawang daen din
45162,Aw,sakhon nakhon
45163,Aw,nakhon phanom
45169,Am,darapidap
45171,Am,lubuagan
45173,Af,dicabisagan
45174,Aw,lazaro cardenas
45175,As,ixtapa
45176,As,san jeronimito
45177,Aw,ajuchitlan
45178,Aw,tlacotepec
45179,Aw,chichihualco
45180,Aw,apango
45181,Aw,olinala
45182,Aw,xochihuehuetlan
45183,Cwb,huajuapan
45185,Cwb,cuicatlan
45186,Aw,valle nacional
45187,Aw,playa vicente
45188,Aw,san juan evangelista
45190,Am,las choapas
45191,Am,chontalpa
45192,Af,juarez
45194,Am,aquiles serdan
45195,Am,emiliano zapata
45197,As,reforma
45201,Am,orange walk
45203,Aw,bull savanna
45204,Aw,may pen
45205,Aw,portmore
45206,Aw,morant bay
45208,Aw,barahona
45209,Aw,cabo rojo
45210,Aw,guanica
45212,Am,maunabo
45213,Aw,road town
45214,Af,codrington
45236,BWh,araouane
45257,BWh,arlit
45318,BWh,sinkat
45325,BWh,abha
45355,Am,khed
45356,Am,panchgani
45357,Am,rahimatpur
45358,Aw,phaltan
45360,BSh,sholapur
45361,BSh,naldurg
45362,Aw,umarga
45363,Aw,homnabad
45364,Aw,zahirabad
45365,Aw,sangareddi
45366,Aw,jangaon
45368,Aw,mahbubabad
45369,Aw,yellandu
45370,Aw,bhadrachalam
45373,Aw,narsipatnam
45375,Aw,visakhapatnam
45378,Am,letpadan
45379,Aw,tharrawaddy
45380,Am,nyaunglebin
45384,Aw,thoen
45386,Aw,si satchanalai
45389,Aw,loei
45391,Aw,nam som
45392,Aw,nong khai
45393,Aw,ban dung
45394,Aw,seka
45395,Aw,na wa
45398,Am,ha tinh
45400,Aw,puro
45402,Am,conner
45403,Am,minanga
45404,Am,lapi
45405,Aw,coahuayana
45406,Aw,coalcoman
45407,As,arteaga
45408,Aw,las guacamayas
45409,Aw,tres palos
45410,Aw,zirandaro
45411,Aw,tlapehuala
45412,Aw,arcelia
45413,Aw,cocula
45414,Aw,huitzuco
45415,Aw,jolalpan
45416,BSh,acatlan
45417,Cwb,ixcaquixtla
45418,Cfb,miahuatlan
45419,Cfa,huautla
45420,Am,tuxtepec
45421,Aw,chacaltianguis
45422,Am,corral nuevo
45423,Am,tatahuicapan
45424,Am,agua dulce
45426,Am,comalcalco
45427,Am,macultepec
45428,Am,palizada
45432,Aw,escarcega
45433,Aw,nicolas bravo
45436,Aw,corozal
45438,Aw,lucea
45439,Aw,maroon town
45440,Aw,bamboo
45441,Aw,port maria
45442,Aw,port antonio
45443,Aw,jeremie
45444,Aw,les cayes
45445,Aw,aquin
45446,Aw,petit goave
45447,Aw,kenscoff
45449,Aw,cabral
45450,Aw,azua
45451,Aw,bani
45453,Aw,san pedro de macoris
45454,Aw,la romana
45455,Am,higuey
45456,Am,rincon
45458,Am,utuado
45459,Am,comerio
45460,Am,naguabo
45461,Am,culebra
45463,Aw,the valley
45472,BWh,atar
45605,Am,murud
45606,Am,indapur
45607,Am,bhor
45608,Aw,jejuri
45609,Aw,bhigvan
45610,Aw,karmala
45611,BSh,barsi
45612,Aw,osmanabad
45613,Aw,nilanga
45614,Aw,aurad
45615,Aw,banswada
45616,Aw,kamareddi
45617,Aw,sirsilla
45618,Aw,karimnagar
45619,Aw,warangal
45622,Aw,malkangiri
45624,Aw,chitrakonda
45625,Aw,salur
45626,Aw,vizianagaram
45627,Aw,srikakulam
45628,Aw,narasannapeta
45629,Am,myanaung
45632,Aw,paungde
45633,Aw,pyu
45637,Aw,pa sang
45639,Aw,mae tha
45640,Aw,long
45641,Aw,rong kwang
45643,Aw,nan
45645,Aw,phonhong
45646,Aw,vientiane
45647,Aw,pakxan
45649,Aw,ban nahin
45651,Cwa,vinh
45654,Aw,wanning
45657,Aw,piddig
45658,Am,flora
45659,Am,pattao
45660,Am,casambalangan
45662,Aw,el colomo
45665,Aw,aguililla
45666,Aw,la mira
45667,Aw,churumuco
45668,Aw,caracuaro
45669,Aw,tiquicheo
45670,Aw,tejupilco
45672,Aw,alpuyeca
45673,Aw,temoac
45674,Cwa,teopantlan
45675,Cwb,tetzoyocan
45676,Cfb,maltrata
45677,Am,omealca
45678,Aw,piedras negras
45679,Aw,alvarado
45680,Am,mundo nuevo
45681,Am,catemaco
45682,Am,frontera
45685,As,isla aguada
45688,Aw,bolonchen
45691,Aw,bacalar
45692,Aw,calderitas
45693,Aw,falmouth
45696,Aw,miragoane
45697,Aw,leogane
45698,Aw,mirebalais
45699,Aw,comendador
45700,Aw,san juan de la maguana
45701,Cfb,constanza
45702,Af,villa altagracia
45703,Af,monte plata
45704,Af,hato mayor
45707,Af,isabela
45815,BWh,sawakin
45849,BWh,ibra
45850,Aw,alibag
45851,Am,khopoli
45852,Aw,dehu
45853,Aw,sirur
45854,Aw,shrigonda
45855,Aw,jamkhed
45856,BSh,bid
45857,Aw,ambajogai
45858,Aw,ahmadpur
45860,Aw,biloli
45861,Aw,amur
45862,Aw,koratla
45863,Aw,lakshettipet
45864,Aw,manthani
45866,Aw,gidam
45869,Aw,jaypur
45870,Aw,koraput
45871,Aw,parvatipuram
45872,Aw,palkonda
45873,Aw,tekkali
45874,Aw,sompeta
45875,Am,pyay
45880,Aw,toungoo
45883,Aw,mae hong son
45885,Aw,chiang mai
45886,Aw,sansai
45887,Aw,phayao
45888,Aw,pong
45900,Aw,lingao
45904,Am,namuac
45908,As,san patricio
45911,Aw,villa de alvarez
45912,As,pihuamo
45913,Aw,tepalcatepec
45914,Aw,tancitaro
45915,Cwa,ario
45916,Aw,tacambaro
45917,Aw,benito juarez
45918,Cwb,colorines
45919,Cwb,san juan de las huertas
45920,Cwb,zacamulpa
45921,Cwb,tlalmanalco
45922,Cwb,tepeyanco
45923,Cwb,chiapa
45924,Cfb,tlanalapan
45925,Aw,boca del monte
45926,Aw,la antigua
45927,As,sabancuy
45928,Aw,champoton
45931,Aw,chunhuhub
45933,Aw,felipe carrillo puerto
45935,Aw,bodden town
45936,Aw,desdunes
45937,Aw,pignon
45938,Aw,hinche
45939,Cfb,san ignacio de sabaneta
45940,Af,la mata
45941,Af,san francisco de macoris
45942,Af,sanchez
45943,Af,samana
45944,Af,el seibo
45976,BWh,tessalit
46087,Aw,vasai
46088,Aw,ambarnath
46089,Aw,junnar
46090,Aw,sangamner
46091,Aw,rahuri
46092,BSh,pathardi
46093,BSh,gevrai
46094,Aw,majalgaon
46095,Aw,parbhani
46096,Aw,basmat
46097,Aw,mudkhed
46098,Aw,nirmal
46100,Aw,asifabad
46101,Aw,sirpur
46102,Aw,allapalli
46105,Aw,jagdalpur
46106,Aw,kotaparh
46108,Aw,rayagada
46109,Aw,gudari
46110,Aw,digapahandi
46111,Aw,ganjam
46112,Aw,chatrapur
46113,Am,akyab
46114,Am,thayetmyo
46117,Aw,allanmyo
46120,Aw,loikaw
46127,Aw,chiang klang
46129,Aw,luang prabang
46137,Am,thanh hoa
46140,Aw,chengmai
46144,Af,kihei
46148,As,tomatlan
46149,Aw,purificacion
46150,Aw,el grullo
46151,Cwa,sayula
46152,Csa,concepcion de buenos aires
46153,Csb,cotija
46154,Cwb,charapan
46155,Cwb,capula
46156,Cwb,tarimbaro
46157,Cwb,zinapecuaro
46158,Cwb,los reyes
46159,Cwb,jocotitlan
46160,Cwb,tepotzotlan
46161,Cwb,axapusco
46164,Cfb,altotonga
46165,Cfa,yecuatla
46166,Am,zempoala
46167,As,seybaplaya
46168,Aw,china
46169,Aw,hopelchen
46170,Aw,tzucacab
46174,Aw,niquero
46175,Aw,media luna
46176,Aw,guisa
46177,Aw,el cobre
46178,Aw,santiago de cuba
46179,Aw,guantanamo
46180,Aw,port-de-paix
46182,Aw,cap-haitien
46183,Aw,derac
46184,As,villa vazquez
46185,Af,maimon
46186,Af,sosua
46187,Af,nagua
46188,BWh,nouadhibou
46296,BWh,mecca
46313,BWh,abu samrah
46327,BWh,nizwa
46331,Aw,boisar
46332,Aw,vada
46333,Aw,ghoti
46335,Aw,vaijapur
46336,BSh,aurangabad
46337,BSh,ambad
46338,Aw,partur
46339,Aw,jintur
46340,Aw,hingoli
46341,Aw,umarkhed
46342,Aw,kinwat
46343,Aw,adilabad
46344,Aw,rajura
46348,Aw,kondagaon
46350,Aw,umarkot
46351,Aw,junagarh
46352,Aw,bhawanipatna
46354,Aw,sorada
46355,Aw,polasara
46356,Aw,banapur
46357,Aw,puri
46358,Aw,nimaparha
46361,Am,minbu
46362,Am,magway
46364,Aw,taungdwingyi
46365,Aw,pyinmana
46371,Aw,chiang rai
46373,Aw,chiang kham
46379,Cwa,xam nua
46389,Am,qiongshan
46394,Cwa,talpa
46395,Cwa,tenamaxtlan
46397,Cwa,ajijic
46398,Csb,jamay
46399,Cwa,tanhuato
46400,Cwa,angamacutiro
46401,Cwa,yuriria
46402,Cwb,tarimoro
46403,Cwb,amealco
46404,BSk,huichapan
46405,BSk,mixquiahuala
46406,Cwb,atotonilco el grande
46407,Cfb,acaxochitlan
46408,Cfa,filomeno mata
46409,Af,papantla
46410,Am,nautla
46411,Aw,nunkini
46413,Aw,tekax
46414,Aw,peto
46415,Aw,chichimila
46416,Aw,tulum
46418,Aw,cozumel
46420,Aw,campechuela
46421,Aw,bayamo
46422,Aw,contramaestre
46552,BWh,riyadh
46574,BWh,sur
46575,Aw,vapi
46576,Aw,silvassa
46577,Aw,ojhar
46578,Aw,chandvad
46579,BSh,nandgaon
46580,BSh,kannad
46581,BSh,sillod
46582,As,chikhli
46583,As,mehkar
46584,Aw,mangrul pir
46585,Aw,digras
46586,Aw,ghatanji
46587,Aw,rajur
46588,Aw,warora
46589,Aw,mul
46590,Aw,brahmapuri
46591,Aw,ambagarh chauki
46592,Aw,kanker
46594,Aw,gariaband
46595,Aw,kharhial
46596,Aw,kesinga
46597,Aw,tarabha
46598,Aw,udayagiri
46599,Aw,bhanjanagar
46600,Aw,kantilo
46601,Aw,bhubaneswar
46602,Aw,jagatsinghapur
46603,Aw,paradwip
46611,Aw,yamethin
46612,Cwa,taunggyi
46616,Cwa,mae chan
46619,Aw,chiang khong
46621,Cwa,nam tha
46629,Cwa,hoa binh
46630,Cwa,ninh binh
46631,Cwa,nam dinh
46632,Aw,thai binh
46634,Cwa,xucheng
46635,Aw,haikou
46636,Af,basco
46638,As,lahaina
46641,As,valle de banderas
46642,Csb,mascota
46644,Cwa,el arenal
46645,Cwa,ixtlahuacan del rio
46646,Cwa,tepatitlan
46647,Cwb,arandas
46648,Cwa,cueramaro
46649,Cwa,san jose temascatio
46650,BSh,comonfort
46651,BSk,la canada
46652,BSk,cadereyta
46653,Cfb,zimapan
46654,Cfb,molango
46657,Am,cazones
46658,Aw,celestun
46659,Aw,chochola
46660,Aw,homun
46661,Aw,tunkas
46662,Aw,temozon
46663,Aw,x-can
46664,Aw,leona vicario
46666,Aw,santa cruz del sur
46667,Aw,amancio
46669,Aw,rio cauto
46670,Aw,holguin
46671,Aw,mayari
46672,Aw,sagua de tanamo
46673,Aw,moa
46694,BWh,taoudenni
46786,BWh,jiddah
46816,BWh,abu dhabi
46826,BSh,veraval
46827,As,kodinar
46828,As,delvada
46829,Aw,mahuva
46830,Aw,navsari
46831,Aw,bansda
