,Lat,Lon,Cls,Nearest City
160,-89.75,-99.75,EF,punta arenas
161,-89.75,-99.25,EF,punta arenas
162,-89.75,-98.75,EF,punta arenas
163,-89.75,-98.25,EF,punta arenas
164,-89.75,-97.75,EF,punta arenas
165,-89.75,-97.25,EF,punta arenas
166,-89.75,-96.75,EF,punta arenas
167,-89.75,-96.25,EF,punta arenas
168,-89.75,-95.75,EF,punta arenas
169,-89.75,-95.25,EF,punta arenas
170,-89.75,-94.75,EF,punta arenas
171,-89.75,-94.25,EF,punta arenas
172,-89.75,-93.75,EF,punta arenas
173,-89.75,-93.25,EF,punta arenas
174,-89.75,-92.75,EF,punta arenas
175,-89.75,-92.25,EF,punta arenas
176,-89.75,-91.75,EF,ushuaia
177,-89.75,-91.25,EF,ushuaia
178,-89.75,-90.75,EF,ushuaia
179,-89.75,-90.25,EF,ushuaia
180,-89.75,-89.75,EF,ushuaia
181,-89.75,-89.25,EF,ushuaia
182,-89.75,-88.75,EF,ushuaia
183,-89.75,-88.25,EF,ushuaia
184,-89.75,-87.75,EF,ushuaia
185,-89.75,-87.25,EF,ushuaia
186,-89.75,-86.75,EF,ushuaia
187,-89.75,-86.25,EF,ushuaia
188,-89.75,-85.75,EF,ushuaia
189,-89.75,-85.25,EF,ushuaia
190,-89.75,-84.75,EF,ushuaia
191,-89.75,-84.25,EF,ushuaia
192,-89.75,-83.75,EF,ushuaia
193,-89.75,-83.25,EF,ushuaia
194,-89.75,-82.75,EF,ushuaia
195,-89.75,-82.25,EF,ushuaia
196,-89.75,-81.75,EF,ushuaia
197,-89.75,-81.25,EF,ushuaia
198,-89.75,-80.75,EF,ushuaia
199,-89.75,-80.25,EF,ushuaia
200,-89.75,-79.75,EF,ushuaia
201,-89.75,-79.25,EF,ushuaia
202,-89.75,-78.75,EF,ushuaia
203,-89.75,-78.25,EF,ushuaia
204,-89.75,-77.75,EF,ushuaia
205,-89.75,-77.25,EF,ushuaia
206,-89.75,-76.75,EF,ushuaia
207,-89.75,-76.25,EF,ushuaia
208,-89.75,-75.75,EF,ushuaia
209,-89.75,-75.25,EF,ushuaia
210,-89.75,-74.75,EF,ushuaia
211,-89.75,-74.25,EF,ushuaia
212,-89.75,-73.75,EF,ushuaia
213,-89.75,-73.25,EF,ushuaia
214,-89.75,-72.75,EF,ushuaia
215,-89.75,-72.25,EF,ushuaia
216,-89.75,-71.75,EF,ushuaia
217,-89.75,-71.25,EF,ushuaia
218,-89.75,-70.75,EF,ushuaia
219,-89.75,-70.25,EF,ushuaia
220,-89.75,-69.75,EF,ushuaia
221,-89.75,-69.25,EF,ushuaia
222,-89.75,-68.75,EF,ushuaia
223,-89.75,-68.25,EF,ushuaia
224,-89.75,-67.75,EF,ushuaia
225,-89.75,-67.25,EF,ushuaia
226,-89.75,-66.75,EF,ushuaia
227,-89.75,-66.25,EF,ushuaia
228,-89.75,-65.75,EF,ushuaia
229,-89.75,-65.25,EF,ushuaia
230,-89.75,-64.75,EF,ushuaia
231,-89.75,-64.25,EF,ushuaia
232,-89.75,-63.75,EF,ushuaia
233,-89.75,-63.25,EF,ushuaia
234,-89.75,-62.75,EF,ushuaia
235,-89.75,-62.25,EF,ushuaia
236,-89.75,-61.75,EF,ushuaia
237,-89.75,-61.25,EF,ushuaia
238,-89.75,-60.75,EF,ushuaia
239,-89.75,-60.25,EF,ushuaia
240,-89.75,-59.75,EF,ushuaia
241,-89.75,-59.25,EF,ushuaia
242,-89.75,-58.75,EF,ushuaia
243,-89.75,-58.25,EF,ushuaia
244,-89.75,-57.75,EF,ushuaia
245,-89.75,-57.25,EF,ushuaia
246,-89.75,-56.75,EF,ushuaia
247,-89.75,-56.25,EF,ushuaia
248,-89.75,-55.75,EF,ushuaia
249,-89.75,-55.25,EF,ushuaia
250,-89.75,-54.75,EF,ushuaia
251,-89.75,-54.25,EF,ushuaia
252,-89.75,-53.75,EF,ushuaia
253,-89.75,-53.25,EF,ushuaia
254,-89.75,-52.75,EF,ushuaia
255,-89.75,-52.25,EF,ushuaia
256,-89.75,-51.75,EF,ushuaia
257,-89.75,-51.25,EF,ushuaia
258,-89.75,-50.75,EF,ushuaia
259,-89.75,-50.25,EF,ushuaia
260,-89.75,-49.75,EF,ushuaia
261,-89.75,-49.25,EF,ushuaia
262,-89.75,-48.75,EF,ushuaia
263,-89.75,-48.25,EF,ushuaia
264,-89.75,-47.75,EF,ushuaia
265,-89.75,-47.25,EF,ushuaia
266,-89.75,-46.75,EF,ushuaia
267,-89.75,-46.25,EF,ushuaia
268,-89.75,-45.75,EF,ushuaia
269,-89.75,-45.25,EF,ushuaia
270,-89.75,-44.75,EF,ushuaia
271,-89.75,-44.25,EF,ushuaia
272,-89.75,-43.75,EF,ushuaia
273,-89.75,-43.25,EF,ushuaia
274,-89.75,-42.75,EF,ushuaia
275,-89.75,-42.25,EF,ushuaia
276,-89.75,-41.75,EF,ushuaia
277,-89.75,-41.25,EF,ushuaia
278,-89.75,-40.75,EF,ushuaia
279,-89.75,-40.25,EF,ushuaia
280,-89.75,-39.75,EF,ushuaia
281,-89.75,-39.25,EF,ushuaia
282,-89.75,-38.75,EF,ushuaia
283,-89.75,-38.25,EF,ushuaia
284,-89.75,-37.75,EF,ushuaia
285,-89.75,-37.25,EF,ushuaia
286,-89.75,-36.75,EF,ushuaia
287,-89.75,-36.25,EF,ushuaia
288,-89.75,-35.75,EF,ushuaia
289,-89.75,-35.25,EF,ushuaia
290,-89.75,-34.75,EF,ushuaia
291,-89.75,-34.25,EF,ushuaia
292,-89.75,-33.75,EF,ushuaia
293,-89.75,-33.25,EF,ushuaia
294,-89.75,-32.75,EF,ushuaia
295,-89.75,-32.25,EF,ushuaia
296,-89.75,-31.75,EF,ushuaia
297,-89.75,-31.25,EF,ushuaia
298,-89.75,-30.75,EF,ushuaia
299,-89.75,-30.25,EF,ushuaia
300,-89.75,-29.75,EF,ushuaia
301,-89.75,-29.25,EF,ushuaia
302,-89.75,-28.75,EF,ushuaia
303,-89.75,-28.25,EF,ushuaia
304,-89.75,-27.75,EF,ushuaia
305,-89.75,-27.25,EF,ushuaia
306,-89.75,-26.75,EF,ushuaia
307,-89.75,-26.25,EF,ushuaia
308,-89.75,-25.75,EF,ushuaia
309,-89.75,-25.25,EF,ushuaia
310,-89.75,-24.75,EF,ushuaia
311,-89.75,-24.25,EF,ushuaia
312,-89.75,-23.75,EF,ushuaia
313,-89.75,-23.25,EF,ushuaia
314,-89.75,-22.75,EF,ushuaia
315,-89.75,-22.25,EF,ushuaia
316,-89.75,-21.75,EF,ushuaia
317,-89.75,-21.25,EF,ushuaia
318,-89.75,-20.75,EF,ushuaia
319,-89.75,-20.25,EF,ushuaia
320,-89.75,-19.75,EF,ushuaia
321,-89.75,-19.25,EF,ushuaia
322,-89.75,-18.75,EF,ushuaia
323,-89.75,-18.25,EF,ushuaia
324,-89.75,-17.75,EF,ushuaia
325,-89.75,-17.25,EF,ushuaia
326,-89.75,-16.75,EF,ushuaia
327,-89.75,-16.25,EF,ushuaia
328,-89.75,-15.75,EF,ushuaia
329,-89.75,-15.25,EF,ushuaia
330,-89.75,-14.75,EF,ushuaia
331,-89.75,-14.25,EF,ushuaia
332,-89.75,-13.75,EF,hermanus
333,-89.75,-13.25,EF,hermanus
334,-89.75,-12.75,EF,hermanus
335,-89.75,-12.25,EF,hermanus
336,-89.75,-11.75,EF,hermanus
337,-89.75,-11.25,EF,hermanus
338,-89.75,-10.75,EF,hermanus
339,-89.75,-10.25,EF,hermanus
340,-89.75,-9.75,EF,hermanus
341,-89.75,-9.25,EF,hermanus
342,-89.75,-8.75,EF,hermanus
343,-89.75,-8.25,EF,hermanus
344,-89.75,-7.75,EF,hermanus
345,-89.75,-7.25,EF,hermanus
346,-89.75,-6.75,EF,hermanus
347,-89.75,-6.25,EF,hermanus
348,-89.75,-5.75,EF,hermanus
349,-89.75,-5.25,EF,hermanus
350,-89.75,-4.75,EF,hermanus
351,-89.75,-4.25,EF,hermanus
352,-89.75,-3.75,EF,hermanus
353,-89.75,-3.25,EF,hermanus
354,-89.75,-2.75,EF,hermanus
355,-89.75,-2.25,EF,hermanus
356,-89.75,-1.75,EF,hermanus
357,-89.75,-1.25,EF,hermanus
358,-89.75,-0.75,EF,hermanus
359,-89.75,-0.25,EF,hermanus
360,-89.75,0.25,EF,hermanus
361,-89.75,0.75,EF,hermanus
362,-89.75,1.25,EF,hermanus
363,-89.75,1.75,EF,hermanus
364,-89.75,2.25,EF,hermanus
365,-89.75,2.75,EF,hermanus
366,-89.75,3.25,EF,hermanus
367,-89.75,3.75,EF,hermanus
368,-89.75,4.25,EF,hermanus
369,-89.75,4.75,EF,hermanus
370,-89.75,5.25,EF,hermanus
371,-89.75,5.75,EF,hermanus
372,-89.75,6.25,EF,hermanus
373,-89.75,6.75,EF,hermanus
374,-89.75,7.25,EF,hermanus
375,-89.75,7.75,EF,hermanus
376,-89.75,8.25,EF,hermanus
377,-89.75,8.75,EF,hermanus
378,-89.75,9.25,EF,hermanus
379,-89.75,9.75,EF,hermanus
380,-89.75,10.25,EF,hermanus
381,-89.75,10.75,EF,hermanus
382,-89.75,11.25,EF,hermanus
383,-89.75,11.75,EF,hermanus
384,-89.75,12.25,EF,bredasdorp
385,-89.75,12.75,EF,bredasdorp
386,-89.75,13.25,EF,bredasdorp
387,-89.75,13.75,EF,bredasdorp
388,-89.75,14.25,EF,bredasdorp
389,-89.75,14.75,EF,bredasdorp
390,-89.75,15.25,EF,bredasdorp
391,-89.75,15.75,EF,bredasdorp
392,-89.75,16.25,EF,bredasdorp
393,-89.75,16.75,EF,bredasdorp
394,-89.75,17.25,EF,bredasdorp
395,-89.75,17.75,EF,bredasdorp
396,-89.75,18.25,EF,bredasdorp
397,-89.75,18.75,EF,bredasdorp
398,-89.75,19.25,EF,bredasdorp
399,-89.75,19.75,EF,bredasdorp
400,-89.75,20.25,EF,bredasdorp
401,-89.75,20.75,EF,bredasdorp
402,-89.75,21.25,EF,bredasdorp
403,-89.75,21.75,EF,bredasdorp
404,-89.75,22.25,EF,bredasdorp
405,-89.75,22.75,EF,bredasdorp
406,-89.75,23.25,EF,bredasdorp
407,-89.75,23.75,EF,bredasdorp
408,-89.75,24.25,EF,bredasdorp
409,-89.75,24.75,EF,bredasdorp
410,-89.75,25.25,EF,bredasdorp
411,-89.75,25.75,EF,bredasdorp
412,-89.75,26.25,EF,bredasdorp
413,-89.75,26.75,EF,bredasdorp
414,-89.75,27.25,EF,bredasdorp
415,-89.75,27.75,EF,bredasdorp
416,-89.75,28.25,EF,bredasdorp
417,-89.75,28.75,EF,kruisfontein
418,-89.75,29.25,EF,kruisfontein
419,-89.75,29.75,EF,kruisfontein
420,-89.75,30.25,EF,kruisfontein
421,-89.75,30.75,EF,kruisfontein
422,-89.75,31.25,EF,port elizabeth
423,-89.75,31.75,EF,port elizabeth
424,-89.75,32.25,EF,port elizabeth
425,-89.75,32.75,EF,port elizabeth
426,-89.75,33.25,EF,port elizabeth
427,-89.75,33.75,EF,port elizabeth
